,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage
10,u12,458.62686569999994,79896.89062,22395.0,74076346.0,1939,488.93227731864096,29.37878787878788,66,1201844,52429878.78971534,18209.757575757576,66,2357658,461805430.68870515,9439.060606060606,66,661776.0,257549208.86611265,3411.021929824561,57,2645089,208737379.6402663,10527.814393939394,66,5452726,178539,0.9682950456069818
11,u13,348.9,62380.59,15697.983330000001,65793027.02,3142,1007.9184142487793,53.2542372881356,59,765978,53920773.40476875,12982.677966101697,59,817187,364687668.530816,4764.661458333333,48,360219.0,68941391.32942708,2384.770833333333,48,1411628,448343935.22314566,6699.8026315789475,57,5072224,281403,0.9474369432162532
12,u14,707.0,287871.9077,35619.86154,328989450.4,3561,817.3478885377764,60.35593220338985,59,1510759,155263393.25825146,23980.301587301587,63,1275334,359140389.62607515,7291.723404255318,47,224345.0,98330704.73120606,1812.6046511627908,43,1828326,469502089.6405325,9298.197115384615,52,5106072,477731,0.9144434357730744
13,u15,255.1176471,64363.16262999999,17632.86275,169655762.1,1720,1040.1324448146606,35.102040816326536,49,736126,115184251.679493,15662.255319148935,47,363854,281782628.3667296,4462.79347826087,23,67065.0,38076924.15082644,1270.125,22,432208,329486442.20850486,4509.981481481482,27,5097525,556286,0.901608667145046
14,u16,405.90625,60775.36621,17418.75,100235974.8,2461,558.9847744900891,41.711864406779654,59,977945,60306318.17570154,17463.303571428572,56,1120268,370356253.4565976,5099.631147540984,61,394371.0,214437973.47744083,2404.475961538461,52,1984348,346819862.55983865,8382.769841269841,63,5260954,208199,0.9619321309899356
15,u17,313.19696969999995,45708.309689999995,16855.07576,59600913.28,2467,738.5144872763922,39.15873015873015,63,830469,40804160.89325444,12776.446153846155,65,2040200,422753031.3018006,8869.934426229509,61,427503.0,213004959.6585744,2937.2102272727275,44,2108426,428258162.0478667,9010.237903225809,62,5521967,179455,0.9685245189708812
16,u18,275.9322034,49075.893710000004,15719.322030000001,134187267.0,1552,788.0929705215419,36.952380952380956,42,717050,84436672.42942132,16675.581395348836,43,890007,386913668.28213614,5345.586956521739,46,384606.0,184704372.0353798,3610.4193548387098,31,1319364,534934017.1041667,7380.208333333332,48,5369963,128645,0.9766040787050104
17,u19,315.1343284,31811.489419999998,18073.37313,145704374.2,3405,893.4538567493112,51.59090909090909,66,994466,96617882.05975296,16855.35593220339,59,1739815,348268141.1975274,7638.799180327868,61,308544.0,47383391.22446282,1910.759090909091,55,2197483,270497073.78366864,8960.346153846154,65,5483874,217990,0.961768642675448
18,u20,188.66666669999998,35065.516339999995,12600.31373,88207566.14,965,313.523260284506,18.92156862745098,51,434383,44335461.46772178,8864.959183673469,49,711619,609038966.6992716,6247.032258064517,31,108896.0,77883597.78512399,1745.5113636363635,22,747977,340215096.07888967,5562.040540540541,37,4693841,86318,0.9819424416635514
19,u22,450.5737705,76010.63799999999,16248.704919999998,212192102.3,1238,277.23852040816325,22.107142857142854,56,600806,80061069.87358025,13351.244444444443,45,1584522,635217800.1914389,7338.431034482759,58,200035.0,76557021.4314059,1699.095238095238,42,1847495,555745106.4033886,8471.745689655172,58,5593392,108510,0.9809695080694126
20,u23,195.0862069,25478.21671,15970.60345,45560368.24,1181,308.0264696829794,20.719298245614034,57,576885,31627354.727608502,10120.789473684208,57,1775206,346634504.4471879,8726.560185185184,54,790422.0,138187485.85946748,4308.2307692307695,52,1727271,104026371.78794643,8219.09375,56,4862097,58519,0.9881073833032288
21,u24,507.7878788,181092.7126,28117.54545,237560952.7,1045,284.0380859375,32.65625,32,727330,99697286.90114464,23462.258064516132,31,477818,287321188.99489784,4774.267857142857,28,129326.0,128934698.65373965,2209.5526315789475,19,1029614,402890790.75386435,9384.18103448276,29,2571487,130216,0.9518022521350422
22,u25,510.33333330000005,223848.1389,23225.27083,128841381.1,1371,647.0428719008263,31.15909090909091,44,868372,89668738.17021276,18476.0,47,522664,174854450.19135806,4138.020833333333,36,57925.0,18410049.052469134,1312.5416666666667,18,752174,466318514.3103764,6206.628787878788,33,4122791,1297246,0.7606573534461112
23,u27,259.2238806,38872.29316,18310.13433,106831421.7,2213,1174.525146484375,34.578125,64,968103,81684954.1723356,15366.714285714286,63,1401274,271087230.61222225,6347.075,60,318460.0,100401804.67494522,2660.20945945946,37,954839,197546033.2286857,4696.271929824561,57,5514757,140162,0.975214145419236
24,u30,706.6461538,416090.3517,40621.10769,331129830.1,4827,2553.4254232733138,79.13114754098359,61,1822276,166074573.83984375,28473.0625,64,1664791,451916323.1947107,8075.486363636363,55,134377.0,40103141.25780924,1194.3163265306125,49,2347568,557836314.7312722,10627.331896551723,58,4796554,858315,0.8482166430380615
25,u31,472.5606061000001,102832.2766,22497.36364,107377726.6,1859,455.57818181818186,33.8,55,1106562,95804979.705993,18140.360655737706,61,1239702,262500835.22060356,5507.229838709676,62,480108.0,90638406.91358024,2730.912037037037,54,1100207,168598863.88551465,5017.4631147540995,61,5192473,230096,0.9575669760956476
26,u32,703.0625,229808.1836,30220.67188,367208849.3,2937,1442.1440443213296,51.526315789473685,57,1533555,101913007.2396694,27882.818181818184,55,1489031,504861005.5153718,7276.913636363636,55,322966.0,132400681.0448167,2226.3882978723404,47,2160723,537975202.0966111,9822.047413793105,58,5101254,599137,0.8948954554170057
27,u33,432.4909091,70009.99537,24627.56364,208484013.4,879,201.71555555555562,19.53333333333333,45,864661,84981094.3316,17293.22,50,1450539,430044368.3650148,7481.6875,52,285916.0,152729449.19,2294.94375,40,1218401,266644680.16678995,6365.639423076923,52,4651347,219938,0.9548501062861235
28,u34,517.5102041,277844.1274,18411.28571,143931475.9,992,208.85559762033532,23.069767441860467,43,645391,109293152.819161,15366.452380952383,42,269836,146747904.59763315,3102.4326923076924,26,63621.0,47007483.61772854,1344.9868421052631,19,246117,335726999.3904958,3304.5113636363635,22,3775787,957612,0.797690412323153
29,u35,367.0298507,123091.7902,14091.19403,82187542.16,1202,174.8034894398531,18.21212121212121,66,718874,58353945.6657484,10892.030303030304,66,171172,203318878.5748393,1804.6515151515152,33,112347.0,58079644.03329371,1476.9741379310346,29,683013,444401260.8622222,4302.672222222222,45,5479183,201451,0.9645372329919512
30,u36,660.2985075,187231.6721,15893.223880000001,165103944.6,2310,438.80437044745065,37.25806451612903,62,761562,69155143.94333333,12692.7,60,1826544,318407020.8501561,7873.616935483871,62,149597.0,50601576.6164,1256.295,50,2660137,224136140.11976334,10739.8,65,5250631,445662,0.9217628025805554
31,u39,32.68,2978.5376,3889.64,12598756.87,139,26.671487603305785,6.3181818181818175,22,105249,14177344.789115647,5011.857142857143,21,45153,326206945.43999994,2765.55,5,0.0,,,0,39630,75623539.95918368,1923.25,7,2453734,57717,0.9770184646246334
32,u41,233.7818182,41457.62512,17636.4,135846530.2,1991,1357.6683813443074,36.87037037037037,54,735677,110261615.3050908,13880.698113207549,53,432780,239146554.484375,3889.3125,32,225812.0,165040382.45562133,2680.298076923077,26,528676,392303855.13265306,5228.758928571428,28,5444794,133368,0.9760910493456448
33,u42,255.4615385,53414.63314,14032.942309999999,106173709.2,1330,371.7585544021529,26.07843137254902,51,629227,86538812.45728396,13982.822222222225,45,763477,422090601.38495255,5666.155405405405,37,58645.0,28773015.671487603,1174.3522727272727,22,657398,396657083.4709141,4832.5526315789475,38,4437438,322514,0.9322442747321822
34,u43,545.2,149298.6933,20478.55,150614592.1,1955,548.8759618344106,34.29824561403509,57,894662,83197829.33764236,15695.824561403508,57,1041639,342569822.0711112,6295.1,45,169757.0,62312515.53163872,1495.1627906976746,43,1357753,473485828.9968311,7730.148936170212,47,3789143,1652041,0.6963820741956163
35,u44,170.0327869,14880.5563,11826.34426,32800925.83,1835,358.24039780521264,33.98148148148148,54,572718,28579109.30378578,10047.684210526317,57,556481,313951968.49970263,3901.207317073171,41,98620.0,31954905.53834917,1174.668918918919,37,1869992,342038104.74247926,9008.172727272728,55,5320028,283743,0.9493657039161664
36,u45,380.19148939999997,138504.8782,20015.21277,118563676.0,1232,355.45454545454544,28.0,44,731968,81010148.48691359,16265.955555555556,45,487378,286130461.0844233,4709.4741379310335,29,251360.0,148659487.58477512,2356.2867647058824,34,1407714,331429249.5152355,9769.355263157895,38,4141077,1250586,0.7680518979023726
37,u46,1191.781818,171938.3524,36454.09091,180784611.8,3264,1309.8395061728395,60.444444444444436,54,1390877,63746587.73187869,26747.634615384613,52,966038,221094765.18786988,5152.221153846154,52,258500.0,90935940.4,2123.225,40,1012276,339310009.5296,5569.19,50,4615999,316866,0.9357643073548536
38,u47,375.244898,229636.2666,13061.14286,75287152.04,1464,357.6586690810321,31.14893617021277,47,333899,39877544.26323251,7258.673913043478,46,217458,171509161.55555555,2522.3888888888887,27,260471.0,111783826.02191384,2269.006756756757,37,577775,421825069.338889,5323.841666666666,30,5024549,359196,0.933281386841316
39,u49,565.641791,151583.6627,24067.77612,294636793.3,3052,7724.75,54.5,56,818163,172777296.39239997,16363.26,50,453238,150916009.654321,6804.791666666668,18,976037.0,374841984.7924,5389.01,50,1656112,353058668.9671006,6878.084615384615,65,5032849,620161,0.8902954355290368
40,u50,114.6046512,8214.983234000001,8088.186047,21737394.99,1323,246.41937500000003,33.075,40,329178,22732896.797500007,8229.45,40,520918,357779984.192044,5331.555555555556,27,124573.0,96517862.20061728,2238.1388888888887,18,803572,628978915.546875,6786.2421875,32,4138794,26058,0.9937433551060156
41,u51,740.7014925,172080.3885,17721.62687,106527512.3,2433,490.640380859375,38.015625,64,823708,56910370.54729109,12480.424242424244,66,1475413,312561490.9513732,6363.345238095239,63,90522.0,29734101.461247634,1000.4130434782608,46,3062076,433298348.7654438,12285.78846153846,65,5481870,215079,0.9622466341194208
42,u52,960.7727273,3195793.357,10533.18182,422676334.8,2367,1294.6736094674554,36.41538461538462,65,324067,19276804.745317373,5226.887096774193,62,1435710,269831318.9024944,6205.682539682541,63,187256.0,43390975.42148761,1572.284090909091,44,2383412,446902239.23406386,9966.40476190476,63,5285241,359738,0.9362729250188532
43,u53,205.15151519999998,30683.5225,16908.27273,101729353.8,2093,627.6061538461539,32.2,65,973753,70405241.11576483,15705.693548387097,62,1018541,548626174.3224826,5813.052083333332,48,124067.0,50301374.51918367,1394.2214285714285,35,2034200,506242892.28888875,8984.204166666666,60,5637753,39987,0.9929572329835464
44,u54,585.6666667000001,212957.9722,20171.64583,251258123.7,2219,1511.8055555555554,52.83333333333334,42,733297,145538921.44281662,15941.239130434782,46,1070619,246752325.1139456,6880.708333333332,42,172056.0,34667276.87968441,1611.1474358974356,39,1096195,209593877.819161,7032.982142857143,42,4950169,592716,0.8930672384507345
45,u56,526.779661,105926.3752,19561.84746,82316770.03,867,51.628772112382926,13.983870967741936,62,689069,47727590.28448276,11880.5,58,742765,386211003.20402884,4728.875,44,140189.0,98572762.79437868,1856.5865384615383,26,966596,446777420.16576433,5440.147959183673,49,4493575,1146501,0.7967224200524957
46,u57,952.2238806,118977.6364,35085.10448,122626836.4,3261,869.4841597796143,49.40909090909091,66,1392917,62618933.46120294,21104.803030303032,66,1742424,289080668.1571598,7210.11153846154,65,470753.0,118602878.20305556,2470.1291666666666,60,1939520,193315064.16161615,7855.204545454545,66,5440522,261864,0.9540781700852942
47,u58,412.6666667,74590.22222000001,25287.047619999998,274045383.5,1426,313.85084404132033,22.63492063492064,63,1109638,106441932.7824,22192.76,50,1403071,397320089.48305553,6354.454166666666,60,361314.0,205955515.29931968,2658.964285714286,42,2276090,465746740.24141526,9686.19758064516,62,5403325,74183,0.9864567975071876
48,u59,883.1455223880589,278049.625278458,15298.328358208899,46226763.7168077,1884,336.0437044745057,30.387096774193548,62,1505175,104175950.39876032,22805.681818181816,66,1125292,230745468.17689905,5045.991935483871,62,766513.0,118358284.64819336,3502.765625,64,873895,233904007.18873885,4211.4449152542375,59,5490902,178026,0.968596179030674
